Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Coast to Mountain;Total matches;217
04/01/2025;13:00 UTC;[Age of Empires II];The Garrison: Qualifier [The Garrison/Qualifier];Coast to Mountain [Coast to Mountain];1v1;Lewis [Lewis] [United Kingdom] [United Kingdom] [Malians] [Malians];>;Dr.Kozmonot [Lithuanians] [Lithuanians] [Turkey] [Turkey] [Dr.Kozmonot];;Malians;Lithuanians;Malians;FALSE;Spanish;11;6;55%;60,48;Coast to Mountain;;
04/01/2025;13:00 UTC;[Age of Empires II];The Garrison: Qualifier [The Garrison/Qualifier];Coast to Mountain [Coast to Mountain];1v1;z40 [Z40] [Taiwan] [Taiwan] [Berbers] [Berbers];<;lyx [Byzantines] [Byzantines] [China] [China] [Lyx];;Berbers;Byzantines;Byzantines;FALSE;Tatars;1;0;0%;0,00;Coast to Mountain;;
04/01/2025;13:00 UTC;[Age of Empires II];The Garrison: Qualifier [The Garrison/Qualifier];Coast to Mountain [Coast to Mountain];1v1;ThunderboltX [ThunderboltX] [Bulgaria] [Bulgaria] [Lithuanians] [Lithuanians];<;Margougou [Persians] [Persians] [France] [France] [Margougou];;Lithuanians;Persians;Persians;FALSE;Teutons;1;0;0%;0,00;Coast to Mountain;;
22/12/2024;19:00 UTC;[Age of Empires II];T90 Titans League 4: Silver League [T90 Titans League/4/Silver League];Coast to Mountain [Coast to Mountain];1v1;repard [Repard] [Russia] [Russia] [Persians] [Persians];>;Biry [Malians] [Malians] [Argentina] [Argentina] [Biry];;Persians;Malians;Persians;FALSE;Tupi;0;0;0%;0,00;Coast to Mountain;;
21/12/2024;13:10 UTC;[Age of Empires II];T90 Titans League 4: Silver League [T90 Titans League/4/Silver League];Coast to Mountain [Coast to Mountain];1v1;StonePleaseAoE [StonePleaseAoE] [Germany] [Germany] [Japanese] [Japanese];>;DuDuZhu [Persians] [Persians] [China] [China] [DuDuZhu];;Japanese;Persians;Japanese;FALSE;Turks;0;0;0%;0,00;Coast to Mountain;;
20/12/2024;13:00 UTC;[Age of Empires II];T90 Titans League 4: Silver League [T90 Titans League/4/Silver League];Coast to Mountain [Coast to Mountain];1v1;Monoz [Monoz] [Argentina] [Argentina] [Berbers] [Berbers];<;saymyname [Mongols] [Mongols] [Vietnam] [Vietnam] [Saymyname];;Berbers;Mongols;Mongols;FALSE;Vietnamese;5;2;40%;51,71;Coast to Mountain;;
19/12/2024;20:00 UTC;[Age of Empires II];T90 Titans League 4: Silver League [T90 Titans League/4/Silver League];Coast to Mountain [Coast to Mountain];1v1;iBUYPOWER [IBUYPOWER] [China] [China] [Byzantines] [Byzantines];>;Lucho [Berbers] [Berbers] [Argentina] [Argentina] [Lucho];;Byzantines;Berbers;Byzantines;FALSE;Vikings;5;3;60%;58,67;Coast to Mountain;;
18/12/2024;16:20 UTC;[Age of Empires II];T90 Titans League 4: Silver League [T90 Titans League/4/Silver League];Coast to Mountain [Coast to Mountain];1v1;Twigg [Twigg] [Argentina] [Argentina] [Malians] [Malians];<;Lewis [Berbers] [Berbers] [United Kingdom] [United Kingdom] [Lewis];;Malians;Berbers;Berbers;FALSE;Wei;0;0;0%;0,00;Coast to Mountain;;
15/12/2024;16:10 UTC;[Age of Empires II];T90 Titans League 4: Silver League [T90 Titans League/4/Silver League];Coast to Mountain [Coast to Mountain];1v1;Gabi [Gabi] [Brazil] [Brazil] [Persians] [Persians];<;wide [Berbers] [Berbers] [Russia] [Russia] [Wide];;Persians;Berbers;Berbers;FALSE;Wu;2;0;0%;0,00;Coast to Mountain;;
14/12/2024;12:00 UTC;[Age of Empires II];T90 Titans League 4: Silver League [T90 Titans League/4/Silver League];Coast to Mountain [Coast to Mountain];1v1;AnTiDeMoN [AnTiDeMoN] [Brazil] [Brazil] [Bulgarians] [Bulgarians];<;Sora Kuma [Berbers] [Berbers] [Taiwan] [Taiwan] [Sora Kuma];;Bulgarians;Berbers;Berbers;FALSE;;;;;;Coast to Mountain;;
