Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Islands;Total matches;683
24/05/2025;20:30 UTC;[Age of Empires II];Great British Discord Community Cup 2025 [Great British Discord Community Cup/2025];Islands [Islands];1v1;Capyphract [Capy] [United Kingdom] [United Kingdom] [Italians] [Italians];<;Acro17 [Portuguese] [Portuguese] [Germany] [Germany] [Acro17];;Italians;Portuguese;Portuguese;FALSE;;;;;;Islands;;
23/05/2025;19:00 UTC;[Age of Empires II];Great British Discord Community Cup 2025 [Great British Discord Community Cup/2025];Islands [Islands];1v1;Fanjita [Fanjita] [United Kingdom] [United Kingdom] [Koreans] [Koreans];>;Hallis [Italians] [Italians] [United Kingdom] [United Kingdom] [Hallis];;Koreans;Italians;Koreans;FALSE;;;;;;Islands;;
23/05/2025;18:30 UTC;[Age of Empires II];Great British Discord Community Cup 2025 [Great British Discord Community Cup/2025];Islands [Islands];1v1;theMole [TheMole (page does not exist)] [Wales] [Wales] [Koreans] [Koreans];>;Breakfast [Dravidians] [Dravidians] [United Kingdom] [United Kingdom] [Breakfast (page does not exist)];;Koreans;Dravidians;Koreans;FALSE;;;;;;Islands;;
23/05/2025;18:00 UTC;[Age of Empires II];Great British Discord Community Cup 2025 [Great British Discord Community Cup/2025];Islands [Islands];1v1;Alfred [Alfred (page does not exist)] [United Kingdom] [United Kingdom] [Malay] [Malay];<;Chris Pelham [Japanese] [Japanese] [United Kingdom] [United Kingdom] [Chris Pelham (page does not exist)];;Malay;Japanese;Japanese;FALSE;;;;;;Islands;;
21/05/2025;18:30 UTC;[Age of Empires II];Great British Discord Community Cup 2025 [Great British Discord Community Cup/2025];Islands [Islands];1v1;Pete [Pete (page does not exist)] [United Kingdom] [United Kingdom] [Malay] [Malay];<;Chris Pelham [Persians] [Persians] [United Kingdom] [United Kingdom] [Chris Pelham (page does not exist)];;Malay;Persians;Persians;FALSE;;;;;;Islands;;
18/05/2025;16:00 UTC;[Age of Empires II];Great British Discord Community Cup 2025 [Great British Discord Community Cup/2025];Islands [Islands];1v1;Capyphract [Capy] [United Kingdom] [United Kingdom] [Italians] [Italians];<;darvoi [Dravidians] [Dravidians] [United Kingdom] [United Kingdom] [Darvoi];;Italians;Dravidians;Dravidians;FALSE;;;;;;Islands;;
17/05/2025;19:00 UTC;[Age of Empires II];Hidden Cup Italia 2 [Hidden Cup Italia/2];Islands [Islands];1v1;nanimaren [Nanimaren] [Italy] [Italy] [Dravidians] [Dravidians];>;Carnage [Italians] [Italians] [Italy] [Italy] [Carnage (Italian player) (page does not exist)];;Dravidians;Italians;Dravidians;FALSE;;;;;;Islands;;
16/05/2025;17:00 UTC;[Age of Empires II];Great British Discord Community Cup 2025 [Great British Discord Community Cup/2025];Islands [Islands];1v1;Ted [Ted (page does not exist)] [United Kingdom] [United Kingdom] [Italians] [Italians];<;Terz [Koreans] [Koreans] [Germany] [Germany] [Terz];;Italians;Koreans;Koreans;FALSE;;;;;;Islands;;
13/05/2025;21:00 UTC;[Age of Empires II];Hidden Cup Italia 2 [Hidden Cup Italia/2];Islands [Islands];1v1;Eadkhan [Eadkhan (page does not exist)] [Italy] [Italy] [Malay] [Malay];<;Killer Storm [Japanese] [Japanese] [Italy] [Italy] [Killer Storm (page does not exist)];(G2) [Watch VOD] [Watch VOD];Malay;Japanese;Japanese;FALSE;;;;;;Islands;;
13/05/2025;14:00 UTC;[Age of Empires II];Great British Discord Community Cup 2025 [Great British Discord Community Cup/2025];Islands [Islands];1v1;Emu Warrior [Emu Warrior (page does not exist)] [United States] [United States] [Italians] [Italians];<;dave_hun [Armenians] [Armenians] [Hungary] [Hungary] [Dave hun];(G1) [Watch VOD] [Watch VOD];Italians;Armenians;Armenians;FALSE;;;;;;Islands;;
12/05/2025;16:00 UTC;[Age of Empires II];Great British Discord Community Cup 2025 [Great British Discord Community Cup/2025];Islands [Islands];1v1;Pete [Pete (page does not exist)] [United Kingdom] [United Kingdom] [Byzantines] [Byzantines];>;Alfred [Saracens] [Saracens] [United Kingdom] [United Kingdom] [Alfred (page does not exist)];;Byzantines;Saracens;Byzantines;FALSE;;;;;;Islands;;
11/05/2025;19:00 UTC;[Age of Empires II];Great British Discord Community Cup 2025 [Great British Discord Community Cup/2025];Islands [Islands];1v1;Joey the Bonqueror [Joey the Bonqueror (page does not exist)] [United Kingdom] [United Kingdom] [Dravidians] [Dravidians];<;Aten [Byzantines] [Byzantines] [United Kingdom] [United Kingdom] [Aten (page does not exist)];;Dravidians;Byzantines;Byzantines;FALSE;;;;;;Islands;;
24/02/2025;22:00 UTC;[Age of Empires II];AoE Leagues: Season #12 [AoELeagues/12];Islands [Islands];1v1;Ozone [Ozone] [Colombia] [Colombia] [Khmer] [Khmer];>;Matze [Dravidians] [Dravidians] [Germany] [Germany] [Matze];;Khmer;Dravidians;Khmer;FALSE;;;;;;Islands;;
12/02/2025;23:00 UTC;[Age of Empires II];AoE Leagues: Season #12 [AoELeagues/12];Islands [Islands];1v1;Ozone [Ozone] [Colombia] [Colombia] [Georgians] [Georgians];>;Monoz [Italians] [Italians] [Argentina] [Argentina] [Monoz];;Georgians;Italians;Georgians;FALSE;;;;;;Islands;;
