Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Arabia;Total matches;191
11/11/2023;18:20 UTC;[Age of Empires II];The Map - Pablito Edition [The Map/6];MegaRandom [MegaRandom];1v1;Dr.Kozmonot [Dr.Kozmonot] [Turkey] [Turkey] [Slavs] [Slavs];>;Manor [Vikings] [Vikings] [Spain] [Spain] [Manor (page does not exist)];;Slavs;Vikings;Slavs;FALSE;Vikings;6;3;50%;56,17;Arabia;;
11/11/2023;18:00 UTC;[Age of Empires II];The Map - Pablito Edition [The Map/6];MegaRandom [MegaRandom];1v1;Monoz [Monoz] [Argentina] [Argentina] [Dravidians] [Dravidians];>;GurasTobbyBufas [Goths] [Goths] [Brazil] [Brazil] [GurasTobbyBufas (page does not exist)];;Dravidians;Goths;Dravidians;FALSE;Wei;0;0;0%;0,00;Arabia;;
11/11/2023;17:40 UTC;[Age of Empires II];The Map - Pablito Edition [The Map/6];MegaRandom [MegaRandom];1v1;FreakinAndy [FreakinAndy] [Austria] [Austria] [Vietnamese] [Vietnamese];>;Argh [Huns] [Huns] [Poland] [Poland] [Argh];;Vietnamese;Huns;Vietnamese;FALSE;Wu;1;0;0%;0,00;Arabia;;
11/11/2023;17:40 UTC;[Age of Empires II];The Map - Pablito Edition [The Map/6];MegaRandom [MegaRandom];1v1;MarkRenton [MarkRenton (page does not exist)] [Argentina] [Argentina] [Armenians] [Armenians];<;dogao [Saracens] [Saracens] [Brazil] [Brazil] [Dogao];;Armenians;Saracens;Saracens;FALSE;;;;;;;;
11/11/2023;17:20 UTC;[Age of Empires II];The Map - Pablito Edition [The Map/6];MegaRandom [MegaRandom];1v1;Dr.Kozmonot [Dr.Kozmonot] [Turkey] [Turkey] [Celts] [Celts];>;shiXo.# [Turks] [Turks] [Germany] [Germany] [ShiXo.];;Celts;Turks;Celts;FALSE;;;;;;;;
11/11/2023;17:20 UTC;[Age of Empires II];The Map - Pablito Edition [The Map/6];MegaRandom [MegaRandom];1v1;ThisDino [ThisDino (page does not exist)] [Germany] [Germany] [Turks] [Turks];<;Monoz [Byzantines] [Byzantines] [Argentina] [Argentina] [Monoz];;Turks;Byzantines;Byzantines;FALSE;;;;;;;;
11/11/2023;17:10 UTC;[Age of Empires II];The Map - Pablito Edition [The Map/6];MegaRandom [MegaRandom];1v1;Argh [Argh] [Poland] [Poland] [Burmese] [Burmese];>;Lucelar [Slavs] [Slavs] [Spain] [Spain] [Lucelar (page does not exist)];;Burmese;Slavs;Burmese;FALSE;;;;;;;;
11/11/2023;16:00 UTC;[Age of Empires II];Vico House Cup II [Vico House Cup/2];MegaRandom [MegaRandom];1v1;Benpat [Benpat (page does not exist)] [France] [France] [Italians] [Italians];>;Nyusika [Portuguese] [Portuguese] [France] [France] [Nyusika];(G1) [Watch VOD] [Watch VOD];Italians;Portuguese;Italians;FALSE;;;;;;;;
11/11/2023;13:00 UTC;[Age of Empires II];Vico House Cup II [Vico House Cup/2];MegaRandom [MegaRandom];1v1;Maelstrom23 [Maelstrom23 (page does not exist)] [France] [France] [Italians] [Italians];<;Hadeo [Malay] [Malay] [Morocco] [Morocco] [Hadeo (page does not exist)];(G4) [Watch VOD] [Watch VOD];Italians;Malay;Malay;FALSE;;;;;;;;
11/11/2023;09:00 UTC;[Age of Empires II];Vico House Cup II [Vico House Cup/2];MegaRandom [MegaRandom];1v1;Grunthor [Grunthor (page does not exist)] [France] [France] [Khmer] [Khmer];<;Benpat [Portuguese] [Portuguese] [France] [France] [Benpat (page does not exist)];;Khmer;Portuguese;Portuguese;FALSE;;;;;;;;
10/11/2023;16:00 UTC;[Age of Empires II];Vico House Cup II [Vico House Cup/2];MegaRandom [MegaRandom];1v1;Chips [Monsieur Chips (page does not exist)] [Vietnamese] [Vietnamese];<;Maelstrom23 [Portuguese] [Portuguese] [France] [France] [Maelstrom23 (page does not exist)];;Vietnamese;Portuguese;Portuguese;FALSE;;;;;;;;
10/11/2023;16:00 UTC;[Age of Empires II];Vico House Cup II [Vico House Cup/2];MegaRandom [MegaRandom];1v1;Yo [Yo (French player) (page does not exist)] [France] [France] [Lithuanians] [Lithuanians];<;Nono12 [Byzantines] [Byzantines] [France] [France] [Nono12 (page does not exist)];;Lithuanians;Byzantines;Byzantines;FALSE;;;;;;;;
10/11/2023;14:00 UTC;[Age of Empires II];Vico House Cup II [Vico House Cup/2];MegaRandom [MegaRandom];1v1;Thanouille [Thanouille (page does not exist)] [France] [France] [Berbers] [Berbers];<;Maelstrom23 [Britons] [Britons] [France] [France] [Maelstrom23 (page does not exist)];;Berbers;Britons;Britons;FALSE;;;;;;;;
10/11/2023;12:00 UTC;[Age of Empires II];Vico House Cup II [Vico House Cup/2];MegaRandom [MegaRandom];1v1;Yo [Yo (French player) (page does not exist)] [France] [France] [Bulgarians] [Bulgarians];<;Benpat [Portuguese] [Portuguese] [France] [France] [Benpat (page does not exist)];;Bulgarians;Portuguese;Portuguese;FALSE;;;;;;;;
09/11/2023;14:00 UTC;[Age of Empires II];Vico House Cup II [Vico House Cup/2];MegaRandom [MegaRandom];1v1;Yo [Yo (French player) (page does not exist)] [France] [France] [Berbers] [Berbers];<;Nyusika [Persians] [Persians] [France] [France] [Nyusika];;Berbers;Persians;Persians;FALSE;;;;;;;;
09/11/2023;14:00 UTC;[Age of Empires II];Vico House Cup II [Vico House Cup/2];MegaRandom [MegaRandom];1v1;Korkhov [Korkhov (page does not exist)] [France] [France] [Lithuanians] [Lithuanians];<;Grunthor [Malay] [Malay] [France] [France] [Grunthor (page does not exist)];;Lithuanians;Malay;Malay;FALSE;;;;;;;;
02/09/2023;13:00 UTC;[Age of Empires II];Chipmunk King's League 2 [Chipmunk King's League/2];MegaRandom [MegaRandom];1v1;gkt_cloud [Cloud (Taiwanese player)] [Taiwan] [Taiwan] [Mongols] [Mongols];<;sora kuma [Persians] [Persians] [Taiwan] [Taiwan] [Sora Kuma];;Mongols;Persians;Persians;FALSE;;;;;;;;
18/08/2023;14:00 UTC;[Age of Empires II];Chipmunk King's League 2 [Chipmunk King's League/2];MegaRandom [MegaRandom];1v1;adai200m7s [Adai200m7s (page does not exist)] [Taiwan] [Taiwan] [Britons] [Britons];<;Taeyoon [Inca] [Inca] [Taiwan] [Taiwan] [Taeyoon];;Britons;Inca;Inca;FALSE;;;;;;;;
30/07/2023;16:00 UTC;[Age of Empires II];Controller Champions [Controller Champions];MegaRandom [MegaRandom];1v1;Donald2O16Trump [Donald2O16Trump (page does not exist)] [United States] [United States] [Goths] [Goths];>;BeaverMan5 [Bulgarians] [Bulgarians] [Estonia] [Estonia] [BeaverMan5];;Goths;Bulgarians;Goths;FALSE;;;;;;;;
29/07/2023;18:20 UTC;[Age of Empires II];Controller Champions [Controller Champions];MegaRandom [MegaRandom];1v1;Donald2O16Trump [Donald2O16Trump (page does not exist)] [United States] [United States] [Sicilians] [Sicilians];<;SoloGhostAK47 [Tatars] [Tatars] [United States] [United States] [SoloGhostAK47];;Sicilians;Tatars;Tatars;FALSE;;;;;;;;
