Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Strandred;Total matches;258
26/01/2026;14:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;Saymyname [Saymyname] [Vietnam] [Vietnam] [Georgians] [Georgians];>;Ozone [Shu] [Shu] [Colombia] [Colombia] [Ozone];(G3) [Watch VOD] [Watch VOD];Georgians;Shu;Georgians;FALSE;Turks;0;0;0%;0,00;Strandred;;
22/01/2026;13:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;saymyname [Saymyname] [Vietnam] [Vietnam] [Italians] [Italians];>;chart [Mayans] [Mayans] [Japan] [Japan] [Chart];(G3) [Watch VOD] [Watch VOD];Italians;Mayans;Italians;FALSE;Vietnamese;8;2;25%;17,73;Strandred;;
21/01/2026;04:20 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;Youpudding [Youpudding] [Taiwan] [Taiwan] [Celts] [Celts];<;Combito [Italians] [Italians] [Mexico] [Mexico] [Combito];(G2) [Watch VOD] [Watch VOD];Celts;Italians;Italians;FALSE;Vikings;4;2;50%;54,07;Strandred;;
20/01/2026;17:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;m0re [M0re] [Spain] [Spain] [Huns] [Huns];<;St4rk [Dravidians] [Dravidians] [Brazil] [Brazil] [St4rk];(G1) [Watch VOD] [Watch VOD];Huns;Dravidians;Dravidians;FALSE;Wei;2;1;50%;52,49;Strandred;;
19/01/2026;15:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;NeoZz [NeoZz] [France] [France] [Georgians] [Georgians];>;Blve [Romans] [Romans] [Taiwan] [Taiwan] [Blve (page does not exist)];(G2) [Watch VOD] [Watch VOD];Georgians;Romans;Georgians;FALSE;Wu;16;9;57%;62,63;Strandred;;
18/01/2026;17:00 UTC;[Age of Empires II];CZ/SK AoE Liga: Season 2 [CZ/SK AoE Liga/2];Stranded (2020) [Stranded (2020)];1v1;Šteukoo [Šteukoo (page does not exist)] [Slovakia] [Slovakia] [Italians] [Italians];<;woaF [Armenians] [Armenians] [Slovakia] [Slovakia] [WoaF (page does not exist)];;Italians;Armenians;Armenians;FALSE;;;;;;;;
09/01/2026;01:00 UTC;[Age of Empires II];Copa Aconcagua 3 [Copa Aconcagua/3];Stranded (2020) [Stranded (2020)];1v1;ZARC [ZARC (page does not exist)] [Chile] [Chile] [Italians] [Italians];<;AboKeiTo [Wu] [Wu] [Chile] [Chile] [AboKeiTo];(G2) [Watch VOD] [Watch VOD];Italians;Wu;Wu;FALSE;;;;;;;;
04/01/2026;16:00 UTC;[Age of Empires II];CZ/SK AoE Liga: Season 2 [CZ/SK AoE Liga/2];Stranded (2020) [Stranded (2020)];1v1;woaF [WoaF (page does not exist)] [Slovakia] [Slovakia] [Koreans] [Koreans];>;pren [Japanese] [Japanese] [Czechia] [Czechia] [Pren (page does not exist)];;Koreans;Japanese;Koreans;FALSE;;;;;;;;
28/12/2025;17:00 UTC;[Age of Empires II];CZ/SK AoE Liga: Season 2 [CZ/SK AoE Liga/2];Stranded (2020) [Stranded (2020)];1v1;woaF [WoaF (page does not exist)] [Slovakia] [Slovakia] [Koreans] [Koreans];>;Krvemlík [Persians] [Persians] [Czechia] [Czechia] [Krvemlík (page does not exist)];;Koreans;Persians;Koreans;FALSE;;;;;;;;
23/11/2025;17:45 UTC;[Age of Empires II];Chilean Cup 2025 [Chilean Cup/2025];Stranded (2020) [Stranded (2020)];1v1;Sobek [Sobek] [Chile] [Chile] [Armenians] [Armenians];<;Whitecourt [Sicilians] [Sicilians] [Chile] [Chile] [Whitecourt];;Armenians;Sicilians;Sicilians;FALSE;;;;;;;;
19/11/2025;22:00 UTC;[Age of Empires II];Chilean Cup 2025 [Chilean Cup/2025];Stranded (2020) [Stranded (2020)];1v1;Felipesick [Felipesick (page does not exist)] [Chile] [Chile] [Huns] [Huns];<;Sobek [Persians] [Persians] [Chile] [Chile] [Sobek];;Huns;Persians;Persians;FALSE;;;;;;;;
17/11/2025;23:00 UTC;[Age of Empires II];Chilean Cup 2025 [Chilean Cup/2025];Stranded (2020) [Stranded (2020)];1v1;AboKeiTo [AboKeiTo] [Chile] [Chile] [Malay] [Malay];<;Whitecourt [Huns] [Huns] [Chile] [Chile] [Whitecourt];;Malay;Huns;Huns;FALSE;;;;;;;;
02/11/2025;00:20 UTC;[Age of Empires II];Chilean Cup 2025 [Chilean Cup/2025];Stranded (2020) [Stranded (2020)];1v1;Sebita [Sebita (page does not exist)] [Chile] [Chile] [Dravidians] [Dravidians];<;Felipesick [Malians] [Malians] [Chile] [Chile] [Felipesick (page does not exist)];;Dravidians;Malians;Malians;FALSE;;;;;;;;
01/11/2025;22:15 UTC;[Age of Empires II];Chilean Cup 2025 [Chilean Cup/2025];Stranded (2020) [Stranded (2020)];1v1;Jupy [Jupy (page does not exist)] [Chile] [Chile] [Malians] [Malians];<;AboKeiTo [Malay] [Malay] [Chile] [Chile] [AboKeiTo];;Malians;Malay;Malay;FALSE;;;;;;;;
30/10/2025;22:45 UTC;[Age of Empires II];Chilean Cup 2025 [Chilean Cup/2025];Stranded (2020) [Stranded (2020)];1v1;Snow [Snow (page does not exist)] [Chile] [Chile] [Khmer] [Khmer];<;Whitecourt [Huns] [Huns] [Chile] [Chile] [Whitecourt];;Khmer;Huns;Huns;FALSE;;;;;;;;
26/10/2025;20:00 UTC;[Age of Empires II];Chilean Cup 2025 [Chilean Cup/2025];Stranded (2020) [Stranded (2020)];1v1;Pain [Pain (page does not exist)] [Chile] [Chile] [Huns] [Huns];<;Whocl [Berbers] [Berbers] [Chile] [Chile] [DreamCl];;Huns;Berbers;Berbers;FALSE;;;;;;;;
24/10/2025;23:25 UTC;[Age of Empires II];Chilean Cup 2025 [Chilean Cup/2025];Stranded (2020) [Stranded (2020)];1v1;Santi [Santi (page does not exist)] [Chile] [Chile] [Mayans] [Mayans];<;Sobek [Wu] [Wu] [Chile] [Chile] [Sobek];;Mayans;Wu;Wu;FALSE;;;;;;;;
19/10/2025;22:15 UTC;[Age of Empires II];Chilean Cup 2025 [Chilean Cup/2025];Stranded (2020) [Stranded (2020)];1v1;Nomadplayer [Nomadplayer (page does not exist)] [Chile] [Chile] [Malay] [Malay];<;Jupy [Spanish] [Spanish] [Chile] [Chile] [Jupy (page does not exist)];;Malay;Spanish;Spanish;FALSE;;;;;;;;
