Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Fortified Clearing;Total matches;205
27/08/2025;18:00 UTC;[Age of Empires II];Midweek Madness August #3 [Midweek Madness/2025/August/3];Fortified Clearing [Fortified Clearing];1v1;FreakinAndy [FreakinAndy] [Austria] [Austria] [Wei] [Wei];<;TheViper [Poles] [Poles] [Norway] [Norway] [TheViper];(G3) [Watch VOD] [Watch VOD];Wei;Poles;Poles;FALSE;Sicilians;2;1;50%;52,96;Fortified Clearing;;
27/08/2025;16:40 UTC;[Age of Empires II];Midweek Madness August #3 [Midweek Madness/2025/August/3];Fortified Clearing [Fortified Clearing];1v1;Kingstone [KingstoNe] [Mexico] [Mexico] [Burgundians] [Burgundians];>;classicpro [Bengalis] [Bengalis] [Ukraine] [Ukraine] [Classicpro];(G3) [Watch VOD] [Watch VOD];Burgundians;Bengalis;Burgundians;FALSE;Slavs;3;1;33%;34,62;Fortified Clearing;;
26/08/2025;15:10 UTC;[Age of Empires II];Midweek Madness August #3 [Midweek Madness/2025/August/3];Fortified Clearing [Fortified Clearing];1v1;Thành C? Qu?ng Tr? [Thành C? Qu?ng Tr?] [Vietnam] [Vietnam] [Tatars] [Tatars];<;Terz [Poles] [Poles] [Germany] [Germany] [Terz];(G2) [Watch VOD] [Watch VOD];Tatars;Poles;Poles;FALSE;Spanish;10;7;70%;69,09;Fortified Clearing;;
26/08/2025;14:00 UTC;[Age of Empires II];Midweek Madness August #3 [Midweek Madness/2025/August/3];Fortified Clearing [Fortified Clearing];1v1;StonePleaseAoE [StonePleaseAoE] [Germany] [Germany] [Burgundians] [Burgundians];<;FreakinAndy [Bohemians] [Bohemians] [Austria] [Austria] [FreakinAndy];(G1) [Watch VOD] [Watch VOD];Burgundians;Bohemians;Bohemians;FALSE;Tatars;2;0;0%;0,00;Fortified Clearing;;
25/08/2025;16:40 UTC;[Age of Empires II];Midweek Madness August #3 [Midweek Madness/2025/August/3];Fortified Clearing [Fortified Clearing];1v1;Dark [Dark] [Russia] [Russia] [Burgundians] [Burgundians];<;Mihai06 [Poles] [Poles] [Romania] [Romania] [Mihai06];(G2) [Watch VOD] [Watch VOD];Burgundians;Poles;Poles;FALSE;Teutons;8;2;25%;17,36;Fortified Clearing;;
25/08/2025;14:15 UTC;[Age of Empires II];Midweek Madness August #3 [Midweek Madness/2025/August/3];Fortified Clearing [Fortified Clearing];1v1;Running [Running] [Germany] [Germany] [Poles] [Poles];<;ACCM [Hindustanis] [Hindustanis] [Vietnam] [Vietnam] [ACCM];(G2) [Watch VOD] [Watch VOD];Poles;Hindustanis;Hindustanis;FALSE;Tupi;0;0;0%;0,00;Fortified Clearing;;
15/06/2025;15:05 UTC;[Age of Empires II];Glitched Nordic Masters AoE [Glitched Nordic Masters AoE];Fortified Clearing [Fortified Clearing];1v1;Ganji [Ganji] [Sweden] [Sweden] [Teutons] [Teutons];<;Valas [Cumans] [Cumans] [Finland] [Finland] [Valas];(G4) [Watch VOD] [Watch VOD];Teutons;Cumans;Cumans;FALSE;Turks;36;18;50%;62,69;Fortified Clearing;;
01/03/2025;18:40 UTC;[Age of Empires II];T90 Titans League 4: Platinum League [T90 Titans League/4/Platinum League];Fortified Clearing [Fortified Clearing];1v1;Nicov [Nicov] [Argentina] [Argentina] [Burgundians] [Burgundians];<;Hera [Portuguese] [Portuguese] [Canada] [Canada] [Hera];(G2) [Watch VOD] [Watch VOD];Burgundians;Portuguese;Portuguese;FALSE;Vietnamese;5;3;60%;58,99;Fortified Clearing;;
28/02/2025;16:00 UTC;[Age of Empires II];T90 Titans League 4: Platinum League [T90 Titans League/4/Platinum League];Fortified Clearing [Fortified Clearing];1v1;Sitaux [Sitaux] [France] [France] [Burgundians] [Burgundians];>;Liereyy [Khmer] [Khmer] [Austria] [Austria] [Liereyy];(G3) [Watch VOD] [Watch VOD];Burgundians;Khmer;Burgundians;FALSE;Vikings;1;1;100%;56,32;Fortified Clearing;;
25/02/2025;16:00 UTC;[Age of Empires II];T90 Titans League 4: Platinum League [T90 Titans League/4/Platinum League];Fortified Clearing [Fortified Clearing];1v1;Nicov [Nicov] [Argentina] [Argentina] [Hindustanis] [Hindustanis];>;MbL [Bengalis] [Bengalis] [Norway] [Norway] [MbL];(G3) [Watch VOD] [Watch VOD];Hindustanis;Bengalis;Hindustanis;FALSE;Wei;3;0;0%;0,00;Fortified Clearing;;
