Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Kawasan;Total matches;795
22/07/2025;14:30 UTC;[Age of Empires II];LingHe Cup [LingHe Cup];Kawasan [Kawasan];1v1;Bad Koala [Bad Koala] [China] [China] [Japanese] [Japanese];<;Beigu [Portuguese] [Portuguese] [China] [China] [Beigu (page does not exist)];(G3) [Watch VOD] [Watch VOD];Japanese;Portuguese;Portuguese;FALSE;Tatars;12;5;42%;51,91;Kawasan;;
21/07/2025;01:00 UTC;[Age of Empires II];Argeking Cup VI: Qualifier [Argeking Cup/6/Qualifier];Kawasan [Kawasan];1v1;Watters [Watters (page does not exist)] [Argentina] [Argentina] [Byzantines] [Byzantines];<;TomS [Celts] [Celts] [Argentina] [Argentina] [TomS];(G1) [Watch VOD] [Watch VOD];Byzantines;Celts;Celts;FALSE;Teutons;9;7;78%;58,75;Kawasan;;
19/07/2025;16:00 UTC;[Age of Empires II];Argeking Cup VI: Qualifier [Argeking Cup/6/Qualifier];Kawasan [Kawasan];1v1;Atila Fiorito [Atila Fiorito (page does not exist)] [Argentina] [Argentina] [Georgians] [Georgians];<;Nuñez Knight [Lithuanians] [Lithuanians] [Argentina] [Argentina] [NunezKnight];(G1) [Watch VOD] [Watch VOD];Georgians;Lithuanians;Lithuanians;FALSE;Tupi;0;0;0%;0,00;Kawasan;;
18/07/2025;12:00 UTC;[Age of Empires II];LingHe Cup [LingHe Cup];Kawasan [Kawasan];1v1;Beigu [Beigu (page does not exist)] [China] [China] [Japanese] [Japanese];<;Daniel [Persians] [Persians] [United States] [United States] [Daniel];(G2) [Watch VOD] [Watch VOD];Japanese;Persians;Persians;FALSE;Turks;3;3;100%;55,00;Kawasan;;
17/07/2025;02:00 UTC;[Age of Empires II];Argeking Cup VI: Qualifier [Argeking Cup/6/Qualifier];Kawasan [Kawasan];1v1;Anakin [Anakin] [Argentina] [Argentina] [Wu] [Wu];>;Johnix.ramone [Italians] [Italians] [Argentina] [Argentina] [Johnix.ramone (page does not exist)];(G1) [Watch VOD] [Watch VOD];Wu;Italians;Wu;FALSE;Vietnamese;6;3;50%;52,44;Kawasan;;
16/07/2025;02:00 UTC;[Age of Empires II];Argeking Cup VI: Qualifier [Argeking Cup/6/Qualifier];Kawasan [Kawasan];1v1;Goffs [Goffs (page does not exist)] [Argentina] [Argentina] [Byzantines] [Byzantines];<;LautaLk [Wu] [Wu] [Argentina] [Argentina] [LautaLk (page does not exist)];;Byzantines;Wu;Wu;FALSE;Vikings;5;2;40%;50,95;Kawasan;;
15/07/2025;01:30 UTC;[Age of Empires II];Argeking Cup VI: Qualifier [Argeking Cup/6/Qualifier];Kawasan [Kawasan];1v1;Acti [Acti (page does not exist)] [Argentina] [Argentina] [Berbers] [Berbers];<;Onion [Japanese] [Japanese] [Argentina] [Argentina] [Onion (page does not exist)];(G3) [Watch VOD] [Watch VOD];Berbers;Japanese;Japanese;FALSE;Wei;0;0;0%;0,00;Kawasan;;
14/07/2025;23:00 UTC;[Age of Empires II];Argeking Cup VI: Qualifier [Argeking Cup/6/Qualifier];Kawasan [Kawasan];1v1;GabrielXbox4294 [GabrielXbox4294 (page does not exist)] [Argentina] [Argentina] [Celts] [Celts];<;Rodrigus [Franks] [Franks] [Argentina] [Argentina] [Rodrigus];(G2) [Watch VOD] [Watch VOD];Celts;Franks;Franks;FALSE;Wu;17;10;59%;57,87;Kawasan;;
05/07/2025;18:00 UTC;[Age of Empires II];Medieval Masters [Medieval Masters];Kawasan [Kawasan];1v1;Hera [Hera] [Canada] [Canada] [Persians] [Persians];>;Liereyy [Wu] [Wu] [Austria] [Austria] [Liereyy];;Persians;Wu;Persians;FALSE;;;;;;Kawasan;;
03/07/2025;18:30 UTC;[Age of Empires II];Medieval Masters [Medieval Masters];Kawasan [Kawasan];1v1;TaToH [TaToH] [Spain] [Spain] [Malians] [Malians];<;Liereyy [Georgians] [Georgians] [Austria] [Austria] [Liereyy];;Malians;Georgians;Georgians;FALSE;;;;;;Kawasan;;
03/07/2025;15:00 UTC;[Age of Empires II];Medieval Masters [Medieval Masters];Kawasan [Kawasan];1v1;Hera [Hera] [Canada] [Canada] [Portuguese] [Portuguese];<;MbL [Celts] [Celts] [Norway] [Norway] [MbL];;Portuguese;Celts;Celts;FALSE;;;;;;Kawasan;;
30/06/2025;18:45 UTC;[Age of Empires II];Medieval Masters [Medieval Masters];Kawasan [Kawasan];1v1;Sitaux [Sitaux] [France] [France] [Italians] [Italians];>;Hearttt [Portuguese] [Portuguese] [Peru] [Peru] [Hearttt];;Italians;Portuguese;Italians;FALSE;;;;;;Kawasan;;
30/06/2025;15:25 UTC;[Age of Empires II];Medieval Masters [Medieval Masters];Kawasan [Kawasan];1v1;Barles [Barles] [Poland] [Poland] [Wu] [Wu];<;MbL [Huns] [Huns] [Norway] [Norway] [MbL];;Wu;Huns;Huns;FALSE;;;;;;Kawasan;;
26/06/2025;16:30 UTC;[Age of Empires II];Medieval Masters [Medieval Masters];Kawasan [Kawasan];1v1;Nicov [Nicov] [Argentina] [Argentina] [Japanese] [Japanese];<;Liereyy [Wu] [Wu] [Austria] [Austria] [Liereyy];(G3) [Watch VOD] [Watch VOD];Japanese;Wu;Wu;FALSE;;;;;;Kawasan;;
25/06/2025;18:00 UTC;[Age of Empires II];Medieval Masters [Medieval Masters];Kawasan [Kawasan];1v1;FreakinAndy [FreakinAndy] [Austria] [Austria] [Georgians] [Georgians];<;Hera [Mongols] [Mongols] [Canada] [Canada] [Hera];(G2) [Watch VOD] [Watch VOD];Georgians;Mongols;Mongols;FALSE;;;;;;Kawasan;;
25/06/2025;15:00 UTC;[Age of Empires II];Medieval Masters [Medieval Masters];Kawasan [Kawasan];1v1;Hearttt [Hearttt] [Peru] [Peru] [Dravidians] [Dravidians];<;TaToH [Persians] [Persians] [Spain] [Spain] [TaToH];(G3) [Watch VOD] [Watch VOD];Dravidians;Persians;Persians;FALSE;;;;;;Kawasan;;
24/06/2025;18:30 UTC;[Age of Empires II];Medieval Masters [Medieval Masters];Kawasan [Kawasan];1v1;JorDan_AoE [JorDan AoE] [Germany] [Germany] [Portuguese] [Portuguese];<;Barles [Wu] [Wu] [Poland] [Poland] [Barles];(G1) [Watch VOD] [Watch VOD];Portuguese;Wu;Wu;FALSE;;;;;;Kawasan;;
24/06/2025;15:00 UTC;[Age of Empires II];Medieval Masters [Medieval Masters];Kawasan [Kawasan];1v1;Sebastian [Sebastian] [Uruguay] [Uruguay] [Byzantines] [Byzantines];<;Liereyy [Japanese] [Japanese] [Austria] [Austria] [Liereyy];(G3) [Watch VOD] [Watch VOD];Byzantines;Japanese;Japanese;FALSE;;;;;;Kawasan;;
23/06/2025;16:40 UTC;[Age of Empires II];Medieval Masters [Medieval Masters];Kawasan [Kawasan];1v1;dogao [Dogao] [Brazil] [Brazil] [Japanese] [Japanese];<;Nicov [Dravidians] [Dravidians] [Argentina] [Argentina] [Nicov];(G2) [Watch VOD] [Watch VOD];Japanese;Dravidians;Dravidians;FALSE;;;;;;Kawasan;;
23/06/2025;15:35 UTC;[Age of Empires II];Medieval Masters [Medieval Masters];Kawasan [Kawasan];1v1;Lucho [Lucho] [Argentina] [Argentina] [Byzantines] [Byzantines];<;FreakinAndy [Wu] [Wu] [Austria] [Austria] [FreakinAndy];(G2) [Watch VOD] [Watch VOD];Byzantines;Wu;Wu;FALSE;;;;;;Kawasan;;
