Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Kawasan;Total matches;202
23/05/2025;14:05 UTC;[Age of Empires II];Warlords IV [Warlords/4];Kawasan [Kawasan];1v1;Mihai06 [Mihai06] [Romania] [Romania] [Japanese] [Japanese];<;TheViper [Wu] [Wu] [Norway] [Norway] [TheViper];(G4) [Watch VOD] [Watch VOD];Japanese;Wu;Wu;FALSE;Vikings;0;0;0%;0,00;Kawasan;;
21/05/2025;17:00 UTC;[Age of Empires II];Warlords IV [Warlords/4];Kawasan [Kawasan];1v1;JorDan_AoE [JorDan AoE] [Germany] [Germany] [Byzantines] [Byzantines];>;TaToH [Malians] [Malians] [Spain] [Spain] [TaToH];(G5) [Watch VOD] [Watch VOD];Byzantines;Malians;Byzantines;FALSE;Wei;0;0;0%;0,00;Kawasan;;
20/05/2025;15:00 UTC;[Age of Empires II];Warlords IV [Warlords/4];Kawasan [Kawasan];1v1;Mihai06 [Mihai06] [Romania] [Romania] [Italians] [Italians];>;ACCM [Portuguese] [Portuguese] [Vietnam] [Vietnam] [ACCM];(G1) [Watch VOD] [Watch VOD];Italians;Portuguese;Italians;FALSE;Wu;7;6;86%;73,02;Kawasan;;
11/05/2025;16:10 UTC;[Age of Empires II];Warlords IV: Qualifier #3 [Warlords/4/Qualifier/3];Kawasan [Kawasan];1v1;dogao [Dogao] [Brazil] [Brazil] [Italians] [Italians];<;Sitaux [Malians] [Malians] [France] [France] [Sitaux];(G2) [Watch VOD] [Watch VOD];Italians;Malians;Malians;FALSE;;;;;;Kawasan;;
04/05/2025;13:00 UTC;[Age of Empires II];Warlords IV: Qualifier #2 [Warlords/4/Qualifier/2];Kawasan [Kawasan];1v1;Mihai06 [Mihai06] [Romania] [Romania] [Italians] [Italians];>;Vinchester [Malians] [Malians] [Russia] [Russia] [Vinchester];(G2) [Watch VOD] [Watch VOD];Italians;Malians;Italians;FALSE;;;;;;Kawasan;;
03/05/2025;16:20 UTC;[Age of Empires II];Warlords IV: Qualifier #2 [Warlords/4/Qualifier/2];Kawasan [Kawasan];1v1;Sora Kuma [Sora Kuma] [Taiwan] [Taiwan] [Japanese] [Japanese];<;JorDan_AoE [Portuguese] [Portuguese] [Germany] [Germany] [JorDan AoE];(G1) [Watch VOD] [Watch VOD];Japanese;Portuguese;Portuguese;FALSE;;;;;;Kawasan;;
02/05/2025;16:00 UTC;[Age of Empires II];Warlords IV: Qualifier #2 [Warlords/4/Qualifier/2];Kawasan [Kawasan];1v1;GoKu [GoKu] [Brazil] [Brazil] [Portuguese] [Portuguese];<;lyx [Persians] [Persians] [China] [China] [Lyx];(G2) [Watch VOD] [Watch VOD];Portuguese;Persians;Persians;FALSE;;;;;;Kawasan;;
29/04/2025;17:00 UTC;[Age of Empires II];Warlords IV: Qualifier #2 [Warlords/4/Qualifier/2];Kawasan [Kawasan];1v1;GGOut [GGOut] [Sweden] [Sweden] [Bengalis] [Bengalis];<;MBL [Japanese] [Japanese] [Norway] [Norway] [MbL];(G3) [Watch VOD] [Watch VOD];Bengalis;Japanese;Japanese;FALSE;;;;;;Kawasan;;
26/04/2025;15:55 UTC;[Age of Empires II];Warlords IV: Qualifier #1 [Warlords/4/Qualifier/1];Kawasan [Kawasan];1v1;Sitaux [Sitaux] [France] [France] [Italians] [Italians];<;DauT [Portuguese] [Portuguese] [Serbia] [Serbia] [DauT];(G1) [Watch VOD] [Watch VOD];Italians;Portuguese;Portuguese;FALSE;;;;;;Kawasan;;
26/04/2025;14:00 UTC;[Age of Empires II];Warlords IV: Qualifier #1 [Warlords/4/Qualifier/1];Kawasan [Kawasan];1v1;Valas [Valas] [Finland] [Finland] [Persians] [Persians];<;DauT [Japanese] [Japanese] [Serbia] [Serbia] [DauT];(G1) [Watch VOD] [Watch VOD];Persians;Japanese;Japanese;FALSE;;;;;;Kawasan;;
