Mapa;Mi_Civ;Civ_Rival;Partidas;Victorias;Win_Rate
African_Clearing;aztecs;saracens;15;6;0,4
African_Clearing;aztecs;shu;2;2;1,0
African_Clearing;aztecs;sicilians;28;17;0,6071428571428571
African_Clearing;aztecs;slavs;21;10;0,47619047619047616
African_Clearing;aztecs;spanish;29;8;0,27586206896551724
African_Clearing;aztecs;tatars;11;5;0,45454545454545453
African_Clearing;aztecs;teutons;18;7;0,3888888888888889
African_Clearing;aztecs;turks;12;5;0,4166666666666667
African_Clearing;aztecs;vietnamese;19;10;0,5263157894736842
African_Clearing;aztecs;vikings;14;6;0,42857142857142855
African_Clearing;aztecs;wei;3;2;0,6666666666666666
African_Clearing;aztecs;wu;4;2;0,5
African_Clearing;bengalis;armenians;13;7;0,5384615384615384
African_Clearing;bengalis;aztecs;13;5;0,38461538461538464
African_Clearing;bengalis;bengalis;16;8;0,5
African_Clearing;bengalis;berbers;37;12;0,32432432432432434
